what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"linux",1315965344367
arch,sysinfo,,,"x86",1315965344367
ws,sysinfo,,,"gtk",1315965344367
locale,sysinfo,,,"en_US",1315965344367
processors,sysinfo,,,"2",1315965344368
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1315965344368
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1315965344368
java.specification.name,sysinfo,,,"Java Platform API Specification",1315965344368
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1315965344368
java.specification.version,sysinfo,,,"1.6",1315965344368
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1315965344368
java.version,sysinfo,,,"1.6.0_26",1315965344368
java.vm.info,sysinfo,,,"mixed mode, sharing",1315965344368
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1315965344368
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1315965344368
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1315965344368
java.vm.specification.version,sysinfo,,,"1.0",1315965344368
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1315965344368
java.vm.version,sysinfo,,,"20.1-b02",1315965344368
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1315965344604
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1315965344733
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1315965344890
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1315965345502
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1315965345755
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1315965346488
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1315965346635
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1315965346778
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1315965347633
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1315965347744
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1315965348121
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1315965348249
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1315965348261
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1315965349323
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1315965349328
