what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1313725223783
stopped,bundle,com.python.pydev.codecompletion,2.2.1.2011071313,"com.python.pydev.codecompletion",1313725223783
stopped,bundle,com.python.pydev.refactoring,2.2.1.2011071313,"com.python.pydev.refactoring",1313725223783
stopped,bundle,com.python.pydev.analysis,2.2.1.2011071313,"com.python.pydev.analysis",1313725223783
stopped,bundle,com.python.pydev.debug,2.2.1.2011071313,"com.python.pydev.debug",1313725223784
stopped,bundle,com.python.pydev.fastparser,2.2.1.2011071313,"com.python.pydev.fastparser",1313725223784
stopped,bundle,org.python.pydev.red_core,2.2.1.2011071313,"org.python.pydev.red_core",1313725223784
stopped,bundle,com.python.pydev,2.2.1.2011071313,"com.python.pydev",1313725223784
stopped,bundle,org.python.pydev.django,2.2.1.2011071313,"org.python.pydev.django",1313725223785
stopped,bundle,org.python.pydev.customizations,2.2.1.2011071313,"org.python.pydev.customizations",1313725223785
stopped,bundle,org.python.pydev.debug,2.2.1.2011071313,"org.python.pydev.debug",1313725223802
stopped,bundle,org.python.pydev.refactoring,2.2.1.2011071313,"org.python.pydev.refactoring",1313725223803
stopped,bundle,org.python.pydev,2.2.1.2011071313,"org.python.pydev",1313725223807
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1313725223835
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1313725223835
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1313725223836
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1313725223836
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1313725223836
stopped,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1313725223836
stopped,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1313725223836
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1313725223836
stopped,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1313725223837
stopped,bundle,org.eclipse.mylyn.help.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.help.ui",1313725223837
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.4.1.v20100823-0100-e3x,"org.eclipse.mylyn.tasks.bugs",1313725223837
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1313725223837
stopped,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1313725223838
stopped,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1313725223839
stopped,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1313725223839
stopped,bundle,org.eclipse.cdt.debug.ui.memory.transport,2.1.0.201102110609,"org.eclipse.cdt.debug.ui.memory.transport",1313725223839
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1313725223839
stopped,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1313725223869
stopped,bundle,org.eclipse.mylyn.wikitext.ui,1.3.0.v20100608-0100-e3x,"org.eclipse.mylyn.wikitext.ui",1313725223869
stopped,bundle,org.python.pydev.jython,2.2.1.2011071313,"org.python.pydev.jython",1313725223870
stopped,bundle,org.python.pydev.parser,2.2.1.2011071313,"org.python.pydev.parser",1313725223870
stopped,bundle,org.python.pydev.core,2.2.1.2011071313,"org.python.pydev.core",1313725223870
stopped,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1313725223870
stopped,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1313725223871
stopped,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1313725223871
