what,kind,bundleId,bundleVersion,description,time
activated,view,org.python.pydev,2.2.1.2011071313,"org.python.pydev.navigator.view",1313743409750
started,bundle,org.python.pydev.customizations,2.2.1.2011071313,"org.python.pydev.customizations",1313743410756
activated,editor,org.python.pydev,2.2.1.2011071313,"org.python.pydev.editor.PythonEditor",1313743416647
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313743417811
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313743427354
activated,view,org.python.pydev,2.2.1.2011071313,"org.python.pydev.navigator.view",1313743427410
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313743428837
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1313743432208
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313743432219
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313743433165
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313743459482
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313743462930
opened,editor,org.python.pydev,2.2.1.2011071313,"org.python.pydev.editor.PythonEditor",1313743466929
activated,editor,org.python.pydev,2.2.1.2011071313,"org.python.pydev.editor.PythonEditor",1313743467044
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313743467260
activated,view,org.python.pydev,2.2.1.2011071313,"org.python.pydev.navigator.view",1313743472955
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313743475180
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1313743480455
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313743480491
activated,editor,org.python.pydev,2.2.1.2011071313,"org.python.pydev.editor.PythonEditor",1313743481577
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1313743571939
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1313743584637
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1313743596700
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1313743599743
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313743600976
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313743635244
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313743636750
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313743638122
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313743643988
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313743659210
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313743741154
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313743770506
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1313743787627
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313743788778
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313743814938
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1313743824311
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313743825651
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313743848558
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1313743856221
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313743857458
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313743862865
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1313743871729
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313743873138
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313743876646
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1313743882893
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313743884019
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1313743887421
